Date,Open,High,Low,Close,Adj Close,Volume
2018-11-07,2179.000000,2190.000000,2120.000000,2136.250000,2131.653076,4281
2018-11-09,2153.350098,2153.350098,2103.000000,2140.600098,2135.993652,7804
2018-11-12,2150.000000,2160.149902,2125.000000,2142.199951,2137.590088,14145
2018-11-13,2140.000000,2145.000000,2105.100098,2116.350098,2111.795898,5074
2018-11-14,2126.000000,2130.000000,2090.000000,2104.500000,2099.971191,32526
2018-11-15,2100.000000,2107.899902,2050.000000,2055.699951,2051.276367,8453
2018-11-16,2085.000000,2085.000000,1990.000000,1994.099976,1989.808838,37639
2018-11-19,2040.000000,2055.949951,1994.099976,2049.050049,2044.640625,44200
2018-11-20,2053.050049,2055.000000,2001.000000,2033.500000,2029.124146,8641
2018-11-21,2040.000000,2057.050049,2020.000000,2039.750000,2035.360596,47360
2018-11-22,2070.300049,2082.000000,2050.000000,2059.800049,2055.367676,12669
2018-11-26,2060.000000,2074.949951,2040.000000,2050.550049,2046.137451,20316
2018-11-27,2060.000000,2075.000000,2055.050049,2066.800049,2062.352539,4034
2018-11-28,2068.000000,2068.000000,2013.050049,2049.399902,2044.989868,20964
2018-11-29,2050.050049,2075.000000,2050.000000,2065.000000,2060.556152,4367
2018-11-30,2070.000000,2075.000000,2000.300049,2038.050049,2033.664307,79687
2018-12-03,2044.000000,2078.000000,2039.750000,2051.199951,2046.786011,6875
2018-12-04,2070.000000,2070.000000,2029.099976,2053.100098,2048.682129,4080
2018-12-05,2055.000000,2057.449951,2020.000000,2027.099976,2022.737915,2194
2018-12-06,2025.000000,2031.650024,1970.000000,1983.199951,1978.932251,9267
2018-12-07,2005.000000,2005.050049,1950.000000,1957.300049,1953.088135,3893
2018-12-10,1940.000000,1940.050049,1900.000000,1914.800049,1910.679565,4831
2018-12-11,1900.000000,1945.000000,1890.099976,1933.099976,1928.940063,6201
2018-12-12,1945.000000,1997.000000,1935.699951,1952.550049,1948.348267,6741
2018-12-13,1970.099976,1987.000000,1948.000000,1964.250000,1960.023071,3159
2018-12-14,1960.000000,1969.250000,1948.000000,1960.400024,1956.181396,1991
2018-12-17,1975.000000,2040.000000,1960.000000,2011.849976,2007.520630,20051
2018-12-18,2011.849976,2054.899902,1982.500000,2030.750000,2026.380005,18627
2018-12-19,2045.000000,2188.000000,2039.099976,2121.649902,2117.084229,54234
2018-12-20,2122.000000,2203.399902,2081.000000,2111.000000,2106.457275,35356
2018-12-21,2115.000000,2185.050049,2107.000000,2144.949951,2140.334229,43062
2018-12-24,2190.000000,2195.000000,2081.000000,2101.100098,2096.578857,17653
2018-12-26,2116.000000,2116.000000,2049.100098,2059.199951,2054.768799,15558
2018-12-27,2081.899902,2090.000000,2052.550049,2079.500000,2075.025146,6773
2018-12-28,2072.050049,2110.000000,2052.000000,2062.100098,2057.662598,6756
2018-12-31,2063.000000,2074.000000,2049.000000,2062.899902,2058.460693,3429
2019-01-01,2062.899902,2073.149902,2035.000000,2043.099976,2038.703369,3278
2019-01-02,2050.000000,2060.000000,2002.050049,2010.550049,2006.223511,4520
2019-01-03,2018.000000,2039.550049,2004.599976,2036.250000,2031.868164,6135
2019-01-04,2038.000000,2055.000000,2032.650024,2044.199951,2039.801025,4901
2019-01-07,2060.100098,2068.649902,1990.000000,2007.900024,2003.579102,7517
